"","unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_ERCC_percent","non_mt_percent","non_ribo_percent","outliers","cell_line","cell_line_demuxlet","demuxlet_cls"
"H13",36964,3757,52659,10905,1409,356,3345,5001,16565,0.992212495628003,0.846000603171747,0.894475765483993,"FALSE","H2228","H2228","SNG"
"H15",26224,2345,30883,5721,970,419,5642,3535,10191,0.986458639008479,0.813070355398812,0.867234945309641,"FALSE","H1975","H1975","SNG"
"H17",34235,2294,43467,6776,1126,297,11260,3996,12948,0.992894654778426,0.822675316015852,0.919214612901905,"FALSE","H2228","H2228","DBL"
"H18",28933,2533,41230,7829,1424,328,2450,4370,13362,0.99311480242994,0.848301151887217,0.859601212691803,"FALSE","H1975","H1975","SNG"
"H19",77910,9278,93701,20734,2588,310,21511,6848,29466,0.996402633205592,0.826647661431261,0.918617756526927,"FALSE","H1975","H1975","SNG"
"H2",60899,6767,70422,17285,1956,536,14686,5869,20630,0.991904992248228,0.842268540551494,0.937032992228312,"FALSE","H2228","H2228","SNG"
"H20",35459,2971,43515,13482,1152,223,2205,4688,14038,0.993802535265848,0.858028208535384,0.88780389813086,"FALSE","HCC827","HCC827","SNG"
"H21",31797,3194,52859,11783,1488,238,1187,5573,19397,0.995050780535624,0.85379182303769,0.873330477223036,"FALSE","HCC827","HCC827","SNG"
"H22",44961,4935,61957,14504,1836,494,15435,5121,18523,0.991416076774056,0.797225071102292,0.89332133384369,"FALSE","H1975","H1975","SNG"
"H23",29899,2954,44929,6602,1839,512,10886,3954,13373,0.988932923809966,0.769535630920859,0.869662102997007,"FALSE","H1975","H1975","SNG"
"H3",49187,3881,85891,11750,2117,393,13145,6419,26516,0.995248151683795,0.840624528269488,0.913976122350233,"FALSE","H2228","H2228","DBL"
"H4",71325,6228,72825,19161,2147,285,16070,5965,22314,0.99515998879844,0.806399569415434,0.914985697326478,"FALSE","H1975","H1975","SNG"
"H5",36684,3319,51446,13673,1257,369,5041,6473,23582,0.993893647275934,0.826647442614432,0.922779695199858,"FALSE","H2228","H2228","DBL"
"H6",52497,5200,74266,8041,2489,329,20271,5301,21779,0.994444188900113,0.785802837235042,0.889572115536932,"FALSE","H1975","H1975","SNG"
"H7",69180,7037,120230,35773,3345,486,5063,7436,35734,0.995998208709913,0.849834890902268,0.876028187152799,"FALSE","HCC827","HCC827","SNG"
"H8",934723,1576,22282,5918,643,183,1216,3898,9790,0.991113379988648,0.84044943734377,0.912256473691038,"FALSE","H2228","H2228","DBL"
"H9",16725,1929,24056,6728,820,329,2196,3154,7801,0.987565695439603,0.819253940752142,0.88757737780108,"FALSE","H1975","H1975","DBL"
"I10",41791,3115,55486,5974,1833,413,6640,5057,17724,0.992157525957934,0.819284585410018,0.86628251733101,"FALSE","H1975","H1975","SNG"
"I11",27806,2973,40196,4692,1400,443,9612,3736,12552,0.989802421136231,0.774537921626404,0.869661512379292,"FALSE","H1975","H1975","SNG"
"I12",46671,3095,46947,7379,1467,462,2576,4705,16448,0.990819551926788,0.837670232953751,0.850923607171931,"FALSE","H1975","H1975","SNG"
"I13",42971,4115,70880,19302,2138,631,1982,5656,21768,0.991455346843323,0.851617052162984,0.84835499432424,"FALSE","HCC827","HCC827","SNG"
"I14",43163,5030,49405,7921,1671,426,10844,4834,16733,0.992350444634943,0.818741408702121,0.883881620820163,"FALSE","H1975","H1975","SNG"
"I15",42128,4695,67300,16137,2363,410,4976,5804,21242,0.992985594109319,0.827276150632108,0.866113894118306,"FALSE","H1975","H1975","SNG"
"I16",36496,3212,45952,5611,1529,555,14785,4389,15687,0.98852553006405,0.788551029012207,0.884362284463387,"FALSE","H2228","H2228","DBL"
"I18",45442,3285,64964,7044,2072,305,16944,4999,21008,0.994478293509864,0.794649656895159,0.866383822170686,"FALSE","HCC827","HCC827","SNG"
"I20",38214,3800,45799,10014,1477,459,3733,4823,16236,0.991254002838597,0.831855136220833,0.840169475135825,"FALSE","H1975","H1975","DBL"
"I21",37081,3916,51699,25503,1489,505,3909,4733,16166,0.991092415569038,0.833292094003902,0.865024826781624,"FALSE","HCC827","HCC827","DBL"
"I22",39169,2441,42924,8147,1251,519,1657,4585,13872,0.988970587522368,0.858852363856075,0.894967636269005,"FALSE","H2228","H2228","DBL"
"I23",21892,2609,28498,4121,983,400,6776,3044,9418,0.98534720642881,0.777872158868261,0.852940270821543,"FALSE","H1975","H1975","SNG"
"I24",40079,3447,76341,12614,2184,498,1312,5799,23093,0.993547827916014,0.853462087709063,0.870739674039893,"FALSE","HCC827","HCC827","SNG"
"I7",29342,2125,42274,6949,1331,369,6935,4262,13690,0.991526661072661,0.831775017653926,0.897369687823457,"FALSE","H2228","H2228","DBL"
"I8",49290,4685,76873,14123,2469,692,1281,5782,23292,0.990769362446003,0.845783959794872,0.862227004024127,"FALSE","HCC827","HCC827","SNG"
"J19",22877,3299,31340,4037,1247,352,12677,2838,10096,0.988015054488892,0.735043580888428,0.856179817571496,"FALSE","H1975","H1975","SNG"
"J2",33356,6752,49776,6347,2062,305,16072,4179,15614,0.992762904449364,0.74727808329238,0.870628365166924,"FALSE","H1975","H1975","SNG"
"J20",13923,1491,21490,6005,719,173,1243,3547,8734,0.991870848417826,0.827913898754392,0.868673152423686,"FALSE","H1975","H1975","DBL"
"J21",18476,1219,27194,2914,939,391,7952,2894,8925,0.986666665561158,0.792268906675329,0.882239907854445,"FALSE","H2228","H2228","DBL"
"J22",33427,2657,43803,4484,1463,464,13227,3594,12871,0.988734363306088,0.770491802680062,0.862636265530056,"FALSE","HCC827","HCC827","SNG"
"J24",18361,1754,37656,7300,1097,294,2030,4238,11866,0.991656833817919,0.849233102267628,0.906876026566639,"FALSE","H2228","H2228","DBL"
"J5",12334,929,18514,4491,681,269,983,3142,7469,0.988217966276318,0.829963849471196,0.870798137905827,"FALSE","HCC827","HCC827","DBL"
"J7",25774,1879,24245,10372,698,259,1465,3253,8297,0.988791128132107,0.840303723224896,0.863202527175452,"FALSE","HCC827","HCC827","SNG"
"J8",18808,1667,32904,7668,1045,276,1364,3542,10517,0.991062089007262,0.841114385432049,0.845677621301111,"FALSE","HCC827","HCC827","DBL"
"K10",76536,7476,104359,19295,2889,517,28576,6146,27488,0.994215657379869,0.830180442072839,0.893080292098264,"FALSE","HCC827","HCC827","SNG"
"K11",223571,11387,143050,21330,4515,498,50433,7328,38629,0.995728597427909,0.799036992725922,0.902793004532086,"FALSE","H1975","H1975","SNG"
"K12",64843,5924,89239,15880,2624,591,15514,6686,28562,0.993137735104986,0.832679784037294,0.909669872673527,"FALSE","H2228","H2228","SNG"
"K13",68966,5284,101076,12720,2624,790,22699,6772,30728,0.99251496973688,0.829764384004893,0.912066873188339,"FALSE","H2228","H2228","SNG"
"K18",38009,3100,49945,13770,1514,331,1015,4866,15993,0.992996935538675,0.857375101070859,0.860938622560731,"FALSE","HCC827","HCC827","SNG"
"K20",112443,7805,143833,17587,3996,428,50876,6691,35666,0.996327033870822,0.809762799077619,0.916615006837042,"FALSE","HCC827","HCC827","SNG"
"K21",36686,3645,51334,13995,1556,498,2700,4845,16885,0.99052413325998,0.84607639866978,0.879655978883045,"FALSE","H1975","H1975","SNG"
"K22",76239,7187,108302,25190,3444,838,2593,7260,33681,0.993171223837424,0.854665835083677,0.86098961996686,"FALSE","H1975","H1975","SNG"
"K23",44437,5136,54205,25287,1447,534,2564,5278,17341,0.989792975612829,0.870249696747448,0.892393234304115,"FALSE","H1975","H1975","SNG"
"K24",126042,8606,118759,27221,3539,635,24541,7080,32892,0.994010701388176,0.818132068339374,0.917973696347532,"FALSE","H1975","H1975","SNG"
"K3",64929,6053,104473,18572,3723,485,34222,6193,27503,0.994400610480893,0.784750754177817,0.908446020999156,"FALSE","H1975","H1975","SNG"
"K4",81620,10699,117539,26479,3794,574,39825,6488,30785,0.994380379732214,0.780282604911391,0.916192653502468,"FALSE","H1975","H1975","SNG"
"K7",63198,6014,105271,26220,2680,576,3184,6835,31326,0.994509352935418,0.849709506208993,0.866245014925297,"FALSE","HCC827","HCC827","SNG"
"K8",121517,9095,167318,32643,5122,771,2391,8672,48828,0.995453428156907,0.853506184801035,0.884144162336331,"FALSE","H1975","H1975","SNG"
"K9",40373,2472,37897,7646,1055,241,1441,4762,14309,0.992452302052937,0.84960514302215,0.904814518963926,"FALSE","H2228","H2228","DBL"
"L1",49613,4736,72996,21015,1768,440,17504,5602,20993,0.993759824230096,0.825656170711353,0.922021187052262,"FALSE","H2228","H2228","SNG"
"L12",53342,5153,47481,9506,1575,485,7480,4804,16149,0.9898445718064,0.838194314918451,0.874357003927795,"FALSE","HCC827","HCC827","DBL"
"L13",53060,4775,78022,9626,2053,546,20484,5489,22005,0.991774596231868,0.833765053018057,0.924698511838895,"FALSE","H2228","H2228","SNG"
"L14",92148,4656,41781,5916,1592,358,14194,3789,12334,0.991081562355212,0.760742661941996,0.899139858002385,"FALSE","H1975","H1975","SNG"
"L17",67980,6595,76606,17985,2074,713,12478,5905,23160,0.990716752594682,0.845293609306868,0.885664557139656,"FALSE","HCC827","HCC827","SNG"
"L18",30452,2181,31148,4282,663,385,10737,3487,10532,0.987276869552529,0.8045955176561,0.934009747427129,"FALSE","H2228","H2228","DBL"
"L19",48317,3753,55851,6119,1737,518,17038,4449,16276,0.990661095483742,0.800380928483423,0.893093577602865,"FALSE","H1975","H1975","SNG"
"L2",54991,5704,55752,25293,1316,536,2570,5466,18063,0.991474283899975,0.851630404223202,0.90859718286155,"FALSE","H2228","H2228","DBL"
"L20",53970,4639,79898,14476,2783,403,20118,5911,23551,0.994522525160493,0.802938303765047,0.87151251687295,"FALSE","H1975","H1975","SNG"
"L22",96294,12811,128868,40920,3919,435,24527,7802,36420,0.996210872873089,0.828775397905333,0.911174928288048,"FALSE","H1975","H1975","SNG"
"L23",128005,12501,142512,75515,3883,460,5698,7846,41147,0.996354533502721,0.858774637067399,0.883466380667757,"FALSE","HCC827","HCC827","SNG"
"L3",56276,4808,62958,13036,1583,513,15677,5360,21026,0.990963568443373,0.809141063060429,0.911252301316322,"FALSE","H2228","H2228","SNG"
"L4",57022,4350,77582,8069,2165,358,20765,5406,22240,0.994109711783224,0.801798560790558,0.911330525480879,"FALSE","H2228","H2228","SNG"
"L5",56163,5030,73630,14986,2245,366,4415,6102,22861,0.994488429642409,0.843095227311537,0.892480253497112,"FALSE","H2228","H2228","DBL"
"L6",57345,5748,64887,34292,1973,506,1642,6025,20689,0.992314756154326,0.860312242805205,0.88636430646029,"FALSE","H1975","H1975","SNG"
"L8",34092,4048,47697,16897,1442,386,2978,4733,15330,0.991650358126777,0.856881930295576,0.873580643456854,"FALSE","HCC827","HCC827","DBL"
"L9",53898,4025,77739,8781,2183,617,21984,5592,22366,0.991728516054847,0.830725207533432,0.895108246844207,"FALSE","H1975","H1975","SNG"
"M11",105669,9361,193588,61892,4568,681,5936,9203,57062,0.99637236672455,0.865795099914865,0.915214868876859,"FALSE","H2228","H2228","SNG"
"M12",144141,14969,186773,66734,4661,787,37052,8738,50556,0.99552970943201,0.850284832492625,0.915974183880413,"FALSE","HCC827","HCC827","SNG"
"M13",139577,14233,227834,59800,5111,728,55829,9304,59653,0.996596985734733,0.841583826321965,0.940857804157745,"FALSE","H2228","H2228","SNG"
"M15",84250,6242,149385,8961,3614,479,28141,7556,41010,0.996293586687078,0.848768592819125,0.932674729901309,"FALSE","H2228","H2228","SNG"
"M16",119038,13561,198626,47364,4801,659,73453,7709,45745,0.995562356324065,0.809487375492516,0.925106366792793,"FALSE","HCC827","HCC827","SNG"
"M20",130569,13706,213281,32497,5323,736,4181,9331,61230,0.996439653601757,0.863236975197903,0.903249893312119,"FALSE","HCC827","HCC827","SNG"
"M21",180201,19070,253857,48220,6510,571,58419,9548,66653,0.997239433934371,0.833585884981383,0.918548164591517,"FALSE","H1975","H1975","SNG"
"M22",159221,16027,243233,76377,6158,840,42460,8995,62799,0.996050892371526,0.844010254805967,0.919759722326833,"FALSE","HCC827","HCC827","SNG"
"M24",136876,14010,207202,54433,5747,532,44863,8924,54067,0.996763275011234,0.838552166600967,0.922133478437221,"FALSE","H1975","H1975","SNG"
"M4",87198,6607,190096,16284,6531,794,52286,7289,48868,0.995559466113702,0.777338953757604,0.869628208719774,"FALSE","HCC827","HCC827","SNG"
"M5",67769,6466,92593,27139,2669,668,25826,6346,26197,0.992251020730522,0.811505133865899,0.923578683216138,"FALSE","H1975","H1975","SNG"
"M6",82138,7995,136224,41317,3919,636,11899,8105,40086,0.995384922168491,0.852417302586335,0.900912812225512,"FALSE","H1975","H1975","SNG"
"M7",66998,8046,115844,43815,3092,573,3480,7653,34573,0.99479362479542,0.859051861030558,0.905561881942012,"FALSE","H1975","H1975","SNG"
"M8",118316,13921,161700,54738,3595,550,39870,8659,48494,0.995731430487126,0.841629892184264,0.940940953325988,"FALSE","H2228","H2228","SNG"
"M9",70028,5673,94918,33496,2489,678,3622,6838,28136,0.993033835302447,0.881504122518658,0.916583410369843,"FALSE","H1975","H1975","SNG"
"N1",96529,8488,173787,43296,4133,523,31169,8331,47224,0.996971878494627,0.838916652371905,0.926964906199198,"FALSE","H2228","H2228","SNG"
"N10",49973,4699,73998,19690,1738,509,11980,5816,22126,0.992271535301333,0.847509716691897,0.935821686784016,"FALSE","H2228","H2228","SNG"
"N11",145377,19340,227259,132963,5565,321,54661,9233,60185,0.998072609288349,0.828611780206262,0.92629377315049,"FALSE","HCC827","HCC827","SNG"
"N13",97371,10206,156386,53361,4079,644,3484,8763,46602,0.995965838162318,0.867087249288209,0.915926158549814,"FALSE","H2228","H2228","SNG"
"N17",103012,10653,189314,42014,4406,538,40469,8208,48746,0.996615106676114,0.8507159560065,0.921265145598583,"FALSE","HCC827","HCC827","SNG"
"N18",121706,11422,177522,48747,5194,726,42858,10666,76049,0.995713289984653,0.821733356017603,0.924758915336307,"FALSE","H1975","H1975","DBL"
"N19",80602,7428,138921,33203,3060,453,35441,7414,37408,0.995803036517375,0.847599443742622,0.942177891847227,"FALSE","H2228","H2228","SNG"
"N2",53129,6452,93591,23825,2232,393,16796,6311,25199,0.995198221756737,0.850867097563051,0.944838705965036,"FALSE","H2228","H2228","SNG"
"N20",185013,16716,238774,77741,6351,1009,49779,11711,107767,0.995796486772779,0.834281366203543,0.927185416019244,"FALSE","H1975","HCC827","DBL"
"N21",71109,8010,113835,47827,2865,546,3736,7413,33211,0.995152208305937,0.86627924456768,0.921230640079901,"FALSE","H2228","H2228","SNG"
"N22",244840,21068,399851,53936,11265,945,61841,12947,157352,0.99693680404463,0.841012506937248,0.93121784716954,"FALSE","H1975","H1975","DBL"
"N23",64822,7089,86918,35627,2572,615,2689,6715,26141,0.993458551320356,0.867220075411338,0.900194751465227,"FALSE","H1975","H1975","SNG"
"N24",87408,10368,140766,47884,3581,336,10948,9427,54921,0.996831812786214,0.842792374348101,0.91658911589572,"FALSE","H1975","HCC827","DBL"
"N3",110966,10428,165845,39765,3979,520,40315,8437,45856,0.996096475707411,0.842572400374526,0.927621046837699,"FALSE","H1975","H1975","SNG"
"N4",138366,12383,223038,72050,5722,514,50812,8620,56932,0.997277453629369,0.828444459912098,0.919447600743413,"FALSE","HCC827","HCC827","SNG"
"N5",175188,18148,330869,106475,7937,627,62111,10043,86316,0.997717688377854,0.836716251814644,0.921972644472329,"FALSE","HCC827","HCC827","SNG"
"N6",46495,3921,67908,13710,2096,834,2754,6129,22501,0.989244922008246,0.849384471423766,0.881649312630855,"FALSE","H1975","H1975","SNG"
"N7",127608,17545,211101,79049,5250,616,39788,9090,57998,0.996586089003658,0.846356770777207,0.917100431549289,"FALSE","HCC827","HCC827","SNG"
"N8",58344,6857,123155,36277,3274,485,3689,7828,35850,0.995760111298254,0.868117154569563,0.90030658289914,"FALSE","H1975","H1975","SNG"
"O10",129762,15514,232203,60586,6419,503,42755,9778,66472,0.997322180617806,0.835223853527015,0.916084830291727,"FALSE","H1975","H1975","SNG"
"O11",109137,12476,163946,51390,3684,583,39644,7588,41862,0.995843485500969,0.843533514680729,0.915627319376208,"FALSE","HCC827","HCC827","SNG"
"O12",117992,10558,196810,49443,5034,706,32735,8947,55151,0.99610161175752,0.844517778309637,0.937335508452157,"FALSE","H2228","H2228","SNG"
"O13",74990,10149,127891,57525,2958,478,2136,7939,36470,0.995996709351248,0.87386893313028,0.920043619401256,"FALSE","H2228","H2228","SNG"
"O14",112482,11861,188564,39641,4772,682,46468,8815,56097,0.99611387400465,0.827673493978702,0.914398111414494,"FALSE","H1975","H1975","SNG"
"O15",141206,16546,208421,37938,5838,798,49091,8729,55173,0.99595816776395,0.816468199877391,0.920486302994888,"FALSE","H1975","H1975","SNG"
"O16",117991,13372,221099,75399,5438,859,4692,9430,62588,0.996005623922157,0.865804946496804,0.905828448611803,"FALSE","HCC827","HCC827","SNG"
"O17",112295,11756,194051,57203,4962,682,42750,8737,50518,0.99586286056537,0.837998337060454,0.924284230515018,"FALSE","H1975","H1975","SNG"
"O18",126976,11136,203189,13293,5517,744,55403,7971,50023,0.99600183895488,0.817004177914758,0.905043498981769,"FALSE","H1975","H1975","SNG"
"O20",75768,10523,154257,53562,3827,921,3200,8512,44291,0.99370075162139,0.869792959998692,0.922918669048188,"FALSE","H2228","H2228","SNG"
"O21",44548,3626,59701,6397,1637,487,8785,5096,17346,0.99158307333588,0.84538222019752,0.901590625163943,"FALSE","H1975","H1975","SNG"
"O24",104849,10495,127326,51721,3605,349,7095,8818,42788,0.997055248902249,0.855403383926474,0.905347082044713,"FALSE","H1975","H1975","SNG"
"O5",83766,8712,156099,45896,4348,893,32525,7873,44364,0.993778739294523,0.810612207913936,0.914795574160226,"FALSE","HCC827","HCC827","SNG"
"O6",84469,10055,168818,46846,5111,940,18069,8577,48607,0.994445244307518,0.836196432440555,0.906145019000346,"FALSE","H1975","H1975","SNG"
"O7",175007,15869,250436,70934,6067,783,43941,9544,65526,0.99653572612451,0.843008881841863,0.930363377840342,"FALSE","H2228","H2228","SNG"
"O8",84102,7396,147597,26082,3551,673,31736,7562,40277,0.994835762098757,0.838865853753044,0.937805462719303,"FALSE","H2228","H2228","SNG"
"P10",202888,21906,389582,148261,10579,694,60259,10828,99631,0.997962481456779,0.841063524320637,0.92126939192928,"FALSE","H1975","H1975","SNG"
"P12",75673,6601,129448,32691,3209,612,18437,7250,34371,0.994501178029588,0.849698873803585,0.939454499591371,"FALSE","H2228","H2228","SNG"
"P14",184014,17490,343253,56181,7812,586,92643,9924,80769,0.997598088251978,0.837722393388834,0.913134876854378,"FALSE","HCC827","HCC827","DBL"
"P15",99548,9523,186458,29334,4348,672,34408,8782,53183,0.996070172612288,0.848805069129458,0.925182685222217,"FALSE","H2228","H2228","DBL"
"P16",121276,11758,139331,12546,3323,503,48567,6544,34188,0.995787995496727,0.805721305485632,0.924008153735769,"FALSE","HCC827","HCC827","DBL"
"P17",82914,8713,127123,28409,3937,489,24420,7434,35361,0.99587115720826,0.837730833167124,0.901840756245367,"FALSE","H1975","H1975","DBL"
"P18",66655,5222,86180,27032,2270,311,6767,6893,26602,0.996278474928096,0.854785354163301,0.911810799259154,"FALSE","H1975","H1975","DBL"
"P19",87349,7700,134656,51826,3953,471,5369,8227,39915,0.996442439935753,0.858649630249618,0.883752753663346,"FALSE","H1975","H1975","DBL"
"P20",64695,6940,93979,35614,2427,445,22609,6014,24974,0.993993753105632,0.830944181616504,0.903659444358355,"FALSE","HCC827","HCC827","SNG"
"P22",77119,8372,145333,32552,3410,497,33045,7367,38289,0.99634359711762,0.820966857107533,0.911018592541306,"FALSE","HCC827","HCC827","SNG"
"P4",54056,5033,80618,27434,2024,535,12702,6237,23790,0.993652794874463,0.843505674298653,0.935014319035595,"FALSE","H1975","H1975","SNG"
"P5",137386,16725,240147,112406,5658,645,68064,8992,57613,0.996545918282932,0.836356377755653,0.918820245635491,"FALSE","HCC827","HCC827","SNG"
"P6",183571,17201,225084,59704,6497,498,49282,9511,64263,0.997292376484557,0.82451799623041,0.923952986329149,"FALSE","H1975","H1975","SNG"
"P7",100816,10089,157396,81260,4275,725,27501,8693,45232,0.994937212372891,0.850061902889533,0.925008638793633,"FALSE","H1975","H1975","SNG"
"P8",50148,6611,84373,31908,2154,511,4529,6440,24310,0.99411764664989,0.866844919429517,0.92751915774613,"FALSE","H2228","H2228","SNG"
"P9",89620,9916,147674,25707,4283,562,12437,8256,43969,0.995837976529865,0.851145124780835,0.916622866878285,"FALSE","H1975","H1975","SNG"
